country,female_prevalence,male_prevalence,difference,ratio,female_pct,male_pct
Australia,448.0,1303.0,856.0,2.91,0.45,1.3
Austria,349.0,1181.0,832.0,3.39,0.35,1.18
Belgium,341.0,1152.0,811.0,3.38,0.34,1.15
Canada,518.0,1402.0,884.0,2.7,0.52,1.4
Chile,418.0,1233.0,815.0,2.95,0.42,1.23
Colombia,332.0,880.0,548.0,2.65,0.33,0.88
Costa Rica,348.0,918.0,569.0,2.64,0.35,0.92
Czechia,312.0,821.0,509.0,2.63,0.31,0.82
Denmark,353.0,1133.0,780.0,3.21,0.35,1.13
Estonia,359.0,965.0,607.0,2.69,0.36,0.97
Finland,377.0,1169.0,792.0,3.1,0.38,1.17
France,349.0,1174.0,825.0,3.36,0.35,1.17
Germany,356.0,1208.0,853.0,3.4,0.36,1.21
Greece,357.0,1205.0,849.0,3.38,0.36,1.21
Hungary,309.0,815.0,506.0,2.64,0.31,0.82
Iceland,419.0,1507.0,1088.0,3.59,0.42,1.51
Ireland,406.0,1322.0,916.0,3.25,0.41,1.32
Israel,342.0,1098.0,756.0,3.21,0.34,1.1
Italy,345.0,1045.0,700.0,3.03,0.34,1.04
Japan,709.0,1772.0,1063.0,2.5,0.71,1.77
Latvia,358.0,966.0,607.0,2.69,0.36,0.97
Lithuania,430.0,1153.0,723.0,2.68,0.43,1.15
Luxembourg,355.0,1200.0,846.0,3.38,0.35,1.2
Mexico,362.0,932.0,570.0,2.57,0.36,0.93
Netherlands,365.0,1236.0,870.0,3.38,0.37,1.24
New Zealand,414.0,1185.0,771.0,2.86,0.41,1.18
Norway,354.0,985.0,632.0,2.78,0.35,0.99
Poland,314.0,832.0,517.0,2.64,0.31,0.83
Portugal,348.0,1174.0,825.0,3.37,0.35,1.17
Slovakia,304.0,803.0,499.0,2.64,0.3,0.8
Slovenia,324.0,851.0,527.0,2.63,0.32,0.85
South Korea,583.0,1626.0,1043.0,2.79,0.58,1.63
Spain,317.0,1314.0,998.0,4.15,0.32,1.31
Sweden,466.0,1610.0,1144.0,3.45,0.47,1.61
Switzerland,375.0,1275.0,900.0,3.4,0.38,1.28
Turkey,295.0,724.0,429.0,2.45,0.3,0.72
United Kingdom,331.0,1086.0,756.0,3.28,0.33,1.09
United States,496.0,1266.0,770.0,2.55,0.5,1.27
