country,gender,age_range,year,prevalence,upper_ui,lower_ui
Slovenia,Male,<5,1991,939.03758630901,1855.69296332678,459.59518854348
Slovenia,Female,<5,1991,363.75360755286,718.02107356625,177.68581132852
Slovenia,Male,5-9,1991,920.23906348948,1984.293941836,435.70053099478
Slovenia,Female,5-9,1991,356.5279565803,772.39217738785,168.00011899311
Slovenia,Male,10-14,1991,912.20193098986,1979.07339500233,358.17339824566
Slovenia,Female,10-14,1991,353.22127164803,771.5962765601099,137.66265034718
Slovenia,Male,15-19,1991,903.55522935817,1965.38342192166,342.21962264225
Slovenia,Female,15-19,1991,349.32573570558,764.78834385161,131.32005480552
Slovenia,Male,20-24,1991,892.41379473047,1932.69273482328,337.77126218043
Slovenia,Female,20-24,1991,344.23170995846,750.04616147971,129.63560374743
Slovenia,Male,25-29,1991,879.3251736912099,1896.27047465523,332.57649244034
Slovenia,Female,25-29,1991,338.31568148787,731.4702010313399,126.99895377216
Slovenia,Male,30-34,1991,864.0405326821801,1862.10272649564,326.16355091430995
Slovenia,Female,30-34,1991,331.47230461323,718.8045420282,124.15943642834
Slovenia,Male,35-39,1991,845.0857759540501,1827.45680951475,320.79506652181
Slovenia,Female,35-39,1991,323.05996973403,702.77630454906,121.78229374987
Slovenia,Male,40-44,1991,822.13805331887,1792.13123429116,315.44999776649
Slovenia,Female,40-44,1991,312.77210245099,687.02800928355,119.39812397129
Slovenia,Male,45-49,1991,793.52111152082,1746.26470878132,307.42949866114003
Slovenia,Female,45-49,1991,300.15077615084,663.69716879164,115.92420620611
Slovenia,Male,50-54,1991,758.78634958603,1675.67593007771,296.83184849938
Slovenia,Female,50-54,1991,284.82153985671005,634.4425846822701,111.21967710279
Slovenia,Male,55-59,1991,711.77763166048,1553.55206092634,284.89453806154
Slovenia,Female,55-59,1991,264.30431032394,580.65217487876,106.12758781488
Slovenia,Male,60-64,1991,653.02813881089,1402.08057785863,267.18588933287003
Slovenia,Female,60-64,1991,239.00854165981,517.22367682732,98.46431525175
Slovenia,Male,65-69,1991,581.8339004056099,1290.1475755016,235.70370440598
Slovenia,Female,65-69,1991,208.79018843804,474.17023193039,83.17733707183
Slovenia,Male,70+,1991,411.2515653180701,1023.302864734,156.70866583804
Slovenia,Female,70+,1991,134.79601518778,342.24784029258,51.838229183820005
Turkey,Male,<5,1990,843.01146976642,1408.72686102539,526.0214830289
Turkey,Female,<5,1990,362.33569752994,606.72418253868,219.84472516361
Turkey,Male,5-9,1990,854.98979319999,1459.70735,478.75228249999
Turkey,Female,5-9,1990,357.66567519999,595.24752749999,208.26495749999
Turkey,Male,10-14,1990,852.744198,1625.34295,409.88673499999
Turkey,Female,10-14,1990,351.18043119999004,642.788355,177.578965
Turkey,Male,15-19,1990,833.5882224000001,1592.8715499999998,403.60844749999
Turkey,Female,15-19,1990,342.00862679999,627.79158249999,174.4209125
Turkey,Male,20-24,1990,811.3657772,1548.591775,391.98027249999006
Turkey,Female,20-24,1990,331.44283640000003,608.19902249999,168.59618999999
Turkey,Male,25-29,1990,785.7225052,1485.86035,375.4760949999901
Turkey,Female,25-29,1990,319.24791079999,579.44196499999,160.36737499999
Turkey,Male,30-34,1990,756.4173644,1411.47455,359.15235
Turkey,Female,30-34,1990,305.4076048,545.6340700000001,152.2811375
Turkey,Male,35-39,1990,721.22720479999,1320.02355,346.2499975
Turkey,Female,35-39,1990,288.93775239999,504.49255,145.9323225
Turkey,Male,40-44,1990,679.3162863999901,1212.6082,331.610385
Turkey,Female,40-44,1990,269.43176159999,456.88493249999,135.2062925
Turkey,Male,45-49,1990,628.39249359999,1099.00724999999,298.38884749999
Turkey,Female,45-49,1990,246.0311908,409.52032,123.55805999999
Turkey,Male,50-54,1990,567.55729319999,1004.0673225,270.91987249999
Turkey,Female,50-54,1990,218.49644471999,374.59108249999,107.7805925
Turkey,Male,55-59,1990,490.6073424000001,913.2663275,234.885135
Turkey,Female,55-59,1990,184.50930927999,335.84272250000004,87.605799
Turkey,Male,60-64,1990,401.8217992,790.46067249999,187.94243499999
Turkey,Female,60-64,1990,146.36799996000002,291.65495250000004,69.25968625
Turkey,Male,65-69,1990,305.84804639999,640.1009974999901,133.29316999999
Turkey,Female,65-69,1990,106.60408987999,229.8115525,46.05206675
Turkey,Male,70+,1990,151.75840950752,356.12047449019,56.64348011123
Turkey,Female,70+,1990,44.78198183735,101.3733075646,14.96516721169
Chile,Male,<5,1991,1446.78319918218,2624.00175200376,806.69468461794
Chile,Female,<5,1991,515.1899435079899,945.14873456774,272.45608704379003
Chile,Male,5-9,1991,1431.11098604096,2803.40956107644,697.88537797753
Chile,Female,5-9,1991,494.67130137738,1001.32500728547,244.53761427074
Chile,Male,10-14,1991,1425.98375506759,3089.08949693886,566.17471110032
Chile,Female,10-14,1991,482.08901605395,1012.70045476893,197.5965612135
Chile,Male,15-19,1991,1406.94487377078,3078.08745761839,535.06103237347
Chile,Female,15-19,1991,474.13369333774,1010.6145950961,186.88129510399
Chile,Male,20-24,1991,1381.75452861533,2947.1265784727098,526.52591674077
Chile,Female,20-24,1991,464.64430665011,988.41908406168,182.96999908915
Chile,Male,25-29,1991,1351.36435312547,2915.54357081941,512.92451200719
Chile,Female,25-29,1991,453.19660013209,958.65505688529,177.62850355728
Chile,Male,30-34,1991,1315.12502741317,2819.85913873617,497.42162658327
Chile,Female,30-34,1991,439.60878998244,922.90279824249,172.34923202944
Chile,Male,35-39,1991,1268.65063412599,2688.02063186624,484.13611282592
Chile,Female,35-39,1991,422.21238612738,871.0457546493701,167.22431927435002
Chile,Male,40-44,1991,1211.03761384684,2548.24404157576,469.19195847682
Chile,Female,40-44,1991,400.53344887045,825.42270764497,161.98303056982002
Chile,Male,45-49,1991,1136.1071193922398,2379.04906732872,448.53130647349
Chile,Female,45-49,1991,371.95070621305,776.17158426294,153.18182083343
